package	version	architecture	installed_size_kib	file_size_bytes	sha256	filename
libxau6	1:1.0.11-1	amd64	42	20392	689a9f0e0ba3e2c65431f864871e303ee904de69dd28abfc462663fae030227f	libxau6_1%3a1.0.11-1_amd64.deb
libxaw7	2:1.0.16-1	amd64	534	211848	e79f3ab51ecbbfd3414a0568a8947ac59a29c30d631e6c7b6e07ea46e688c047	libxaw7_2%3a1.0.16-1_amd64.deb
libxcb-dri3-0	1.17.0-2+b1	amd64	137	106892	f446d42fb5fcebbb3e347368ba83616769fdb271d85b2f49048e337f3163d267	libxcb-dri3-0_1.17.0-2+b1_amd64.deb
libxcb-glx0	1.17.0-2+b1	amd64	249	122380	cc59a3fa1c4ce376c3a32798179950810bd7b9be9a35bc76de1f5b5e7cc3925e	libxcb-glx0_1.17.0-2+b1_amd64.deb
libxcb-present0	1.17.0-2+b1	amd64	128	105612	db95ea4630c55bd7f3281cb60ccf75b1627ef2f4399e1939f8f6161e584a92fb	libxcb-present0_1.17.0-2+b1_amd64.deb
libxcb-randr0	1.17.0-2+b1	amd64	197	116736	f5d9fe5fdf797918f81f0abf6cfd4270bd54659540cddb4da709ab7154523214	libxcb-randr0_1.17.0-2+b1_amd64.deb
libxcb-render0	1.17.0-2+b1	amd64	181	115100	7f6e36978e0f70a590fbad4042a692c70b50ca7cbcdc53fa7e9d9ab87933acc6	libxcb-render0_1.17.0-2+b1_amd64.deb
libxcb-shm0	1.17.0-2+b1	amd64	127	105284	d1777a813f484e89f3dcaadd1d5f2b1a13e9313b6bf70eded16d8ce743208fef	libxcb-shm0_1.17.0-2+b1_amd64.deb
libxcb-sync1	1.17.0-2+b1	amd64	150	108688	0ce4770ed1505be9ddc6473045e4662d062aff2f3077ee684265f01cfb543559	libxcb-sync1_1.17.0-2+b1_amd64.deb
libxcb-xfixes0	1.17.0-2+b1	amd64	152	109288	f9c1aafc18bf9e4662e34bbaf3bb00f1f4e8c2fc1dd786fdfb6cb9cb6c64fae7	libxcb-xfixes0_1.17.0-2+b1_amd64.deb
libxcb1	1.17.0-2+b1	amd64	301	144340	5c222a72d11b866447da31693254f738430726e3e065a384e82687b2fd2f978b	libxcb1_1.17.0-2+b1_amd64.deb
libxcomposite1	1:0.4.6-1	amd64	39	16348	20e3c1d9b2135f0c8c4246a9fd26a51a57d5850c3b36ecc173c45d6be7328af3	libxcomposite1_1%3a0.4.6-1_amd64.deb
libxdamage1	1:1.1.6-1+b2	amd64	39	15460	e51e43f23f3befbc1f9408271f4df6773d37caece9ce7e1f38abade382f7fbf7	libxdamage1_1%3a1.1.6-1+b2_amd64.deb
libxdmcp6	1:1.1.5-1	amd64	59	27756	0740dc760916b2008b45417a42a8fd7dd5de370fb57d31373f15034cda8acf0b	libxdmcp6_1%3a1.1.5-1_amd64.deb
libxext6	2:1.3.4-1+b3	amd64	129	50448	fc618ec40465e5ce48622606299cb47833efc3fb235ba15543b81f850722f443	libxext6_2%3a1.3.4-1+b3_amd64.deb
libxfixes3	1:6.0.0-2+b4	amd64	55	20228	3fdd95d86d8e9d63e11f52070935c8f9f912c36aa3b17338d969f7685f3ed4fb	libxfixes3_1%3a6.0.0-2+b4_amd64.deb
